VALIDAÇÃO SE EXISTE ESTOQUE NA FILIAL 76 NO DIA DA VENDA;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
ds_tp_venda_ecom;dt_venda;cd_prod_cor;sg_tamanho;Indicador_Estoque;CHAVE;confere;existe na base?
omnichannel;25/09/2024 00:00;CL.35.0048|184;46;1;45560CL.35.0048|18446;12;CL.35.0048|184
omnichannel;25/09/2024 00:00;CL.37.0039|332;46;1;45560CL.37.0039|33246;5;CL.37.0039|332
omnichannel;25/09/2024 00:00;PL.16.0085|046;46;0;45560PL.16.0085|04646;-;nao existe na base
omnichannel;25/09/2024 00:00;CJ.07.3753|148;48;1;45560CJ.07.3753|14848;2;CJ.07.3753|148
omnichannel;25/09/2024 00:00;CJ.11.6212|148;48;1;45560CJ.11.6212|14848;2;CJ.11.6212|148
omnichannel;25/09/2024 00:00;CL.09.0729|010;48;1;45560CL.09.0729|01048;1;CL.09.0729|010
omnichannel;25/09/2024 00:00;CO.07.0252|003;48;1;45560CO.07.0252|00348;1;CO.07.0252|003
omnichannel;25/09/2024 00:00;CO.07.0252|332;50;0;45560CO.07.0252|33250;-;nao existe na base
omnichannel;25/09/2024 00:00;CJ.07.0250|004;52;0;45560CJ.07.0250|00452;-;nao existe na base
omnichannel;25/09/2024 00:00;CO.07.0203|007;52;0;45560CO.07.0203|00752;-;nao existe na base
omnichannel;25/09/2024 00:00;CO.07.0250|007;52;0;45560CO.07.0250|00752;-;nao existe na base
omnichannel;25/09/2024 00:00;CO.07.0251|180;52;0;45560CO.07.0251|18052;-;nao existe na base
omnichannel;25/09/2024 00:00;CO.07.0255|148;56;1;45560CO.07.0255|14856;2;CO.07.0255|148
omnichannel;25/09/2024 00:00;CI.01.0116|027/007;85;1;45560CI.01.0116|027/00785;52;CI.01.0116|027/007
omnichannel;25/09/2024 00:00;CI.01.0135|007/027;90;1;45560CI.01.0135|007/02790;4;CI.01.0135|007/027
omnichannel;25/09/2024 00:00;CI.03.0217|007;90;1;45560CI.03.0217|00790;10;CI.03.0217|007
omnichannel;25/09/2024 00:00;CI.01.0135|007/027;95;1;45560CI.01.0135|007/02795;1;CI.01.0135|007/027
omnichannel;25/09/2024 00:00;BE.13.0203|156;G;0;45560BE.13.0203|156G;-;nao existe na base
omnichannel;25/09/2024 00:00;CL.32.0043|129;G;0;45560CL.32.0043|129G;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.01.3678|001;G;1;45560CS.01.3678|001G;4;CS.01.3678|001
omnichannel;25/09/2024 00:00;CS.01.3687|001;G;1;45560CS.01.3687|001G;17;CS.01.3687|001
omnichannel;25/09/2024 00:00;CS.01.3691|007;G;1;45560CS.01.3691|007G;7;CS.01.3691|007
omnichannel;25/09/2024 00:00;CS.01.3691|010;G;1;45560CS.01.3691|010G;6;CS.01.3691|010
omnichannel;25/09/2024 00:00;CS.01.3691|061;G;1;45560CS.01.3691|061G;3;CS.01.3691|061
omnichannel;25/09/2024 00:00;CS.01.3693|021;G;1;45560CS.01.3693|021G;18;CS.01.3693|021
omnichannel;25/09/2024 00:00;CS.11.0072|129;G;0;45560CS.11.0072|129G;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.12.0227|007;G;1;45560CS.12.0227|007G;39;CS.12.0227|007
omnichannel;25/09/2024 00:00;CS.12.0227|042;G;1;45560CS.12.0227|042G;7;CS.12.0227|042
omnichannel;25/09/2024 00:00;CS.12.0227|061;G;1;45560CS.12.0227|061G;34;CS.12.0227|061
omnichannel;25/09/2024 00:00;CS.12.0488|612;G;1;45560CS.12.0488|612G;5;CS.12.0488|612
omnichannel;25/09/2024 00:00;CS.12.0492|615;G;1;45560CS.12.0492|615G;5;CS.12.0492|615
omnichannel;25/09/2024 00:00;CS.12.0537|592;G;1;45560CS.12.0537|592G;3;CS.12.0537|592
omnichannel;25/09/2024 00:00;CS.12.0539|010;G;1;45560CS.12.0539|010G;4;CS.12.0539|010
omnichannel;25/09/2024 00:00;CS.13.0015|620;G;1;45560CS.13.0015|620G;7;CS.13.0015|620
omnichannel;25/09/2024 00:00;MC.05.0182|552;G;1;45560MC.05.0182|552G;1;MC.05.0182|552
omnichannel;25/09/2024 00:00;MC.06.0163|001;G;1;45560MC.06.0163|001G;16;MC.06.0163|001
omnichannel;25/09/2024 00:00;MC.06.0163|018;G;1;45560MC.06.0163|018G;3;MC.06.0163|018
omnichannel;25/09/2024 00:00;ML.01.0076|001;G;1;45560ML.01.0076|001G;1;ML.01.0076|001
omnichannel;25/09/2024 00:00;ML.02.0267|148;G;0;45560ML.02.0267|148G;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.02.0485|001/007;G;1;45560ML.02.0485|001/007G;15;ML.02.0485|001/007
omnichannel;25/09/2024 00:00;ML.02.0490|007;G;1;45560ML.02.0490|007G;1;ML.02.0490|007
omnichannel;25/09/2024 00:00;ML.02.0527|018;G;0;45560ML.02.0527|018G;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.02.0616|001/003;G;0;45560ML.02.0616|001/003G;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.02.0740|007;G;1;45560ML.02.0740|007G;4;ML.02.0740|007
omnichannel;25/09/2024 00:00;ML.02.0838|001;G;1;45560ML.02.0838|001G;1;ML.02.0838|001
omnichannel;25/09/2024 00:00;ML.02.0838|007;G;1;45560ML.02.0838|007G;28;ML.02.0838|007
omnichannel;25/09/2024 00:00;ML.02.0838|010;G;1;45560ML.02.0838|010G;2;ML.02.0838|010
omnichannel;25/09/2024 00:00;ML.02.0938|001;G;1;45560ML.02.0938|001G;21;ML.02.0938|001
omnichannel;25/09/2024 00:00;ML.02.0938|007;G;1;45560ML.02.0938|007G;14;ML.02.0938|007
omnichannel;25/09/2024 00:00;ML.02.0938|010;G;1;45560ML.02.0938|010G;24;ML.02.0938|010
omnichannel;25/09/2024 00:00;ML.02.0938|148;G;1;45560ML.02.0938|148G;11;ML.02.0938|148
omnichannel;25/09/2024 00:00;ML.05.0091|006;G;0;45560ML.05.0091|006G;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.05.0119|007;G;1;45560ML.05.0119|007G;4;ML.05.0119|007
omnichannel;25/09/2024 00:00;ML.05.0245|148;G;0;45560ML.05.0245|148G;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.31.0062|001;G;0;45560ML.31.0062|001G;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.01.2255|007;G;1;45560PO.01.2255|007G;12;PO.01.2255|007
omnichannel;25/09/2024 00:00;PO.01.2255|010;G;0;45560PO.01.2255|010G;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.01.2255|031;G;1;45560PO.01.2255|031G;32;PO.01.2255|031
omnichannel;25/09/2024 00:00;PO.01.2255|129;G;1;45560PO.01.2255|129G;1;PO.01.2255|129
omnichannel;25/09/2024 00:00;PO.01.2255|145;G;0;45560PO.01.2255|145G;-1;PO.01.2255|145
omnichannel;25/09/2024 00:00;PO.01.2280|010;G;0;45560PO.01.2280|010G;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.01.2280|061;G;0;45560PO.01.2280|061G;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.09.0022|148;G;1;45560PO.09.0022|148G;9;PO.09.0022|148
omnichannel;25/09/2024 00:00;PO.10.0027|001;G;1;45560PO.10.0027|001G;20;PO.10.0027|001
omnichannel;25/09/2024 00:00;PO.10.0027|007;G;0;45560PO.10.0027|007G;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0163|003;G;1;45560PO.10.0163|003G;29;PO.10.0163|003
omnichannel;25/09/2024 00:00;PO.10.0163|085;G;1;45560PO.10.0163|085G;32;PO.10.0163|085
omnichannel;25/09/2024 00:00;PO.10.0164|001;G;1;45560PO.10.0164|001G;27;PO.10.0164|001
omnichannel;25/09/2024 00:00;PO.10.0164|007;G;1;45560PO.10.0164|007G;48;PO.10.0164|007
omnichannel;25/09/2024 00:00;PO.10.0164|097;G;1;45560PO.10.0164|097G;29;PO.10.0164|097
omnichannel;25/09/2024 00:00;PO.10.0168|035;G;1;45560PO.10.0168|035G;1;PO.10.0168|035
omnichannel;25/09/2024 00:00;PO.10.0168|040;G;1;45560PO.10.0168|040G;12;PO.10.0168|040
omnichannel;25/09/2024 00:00;PO.10.0168|109;G;1;45560PO.10.0168|109G;7;PO.10.0168|109
omnichannel;25/09/2024 00:00;PO.10.0168|126;G;1;45560PO.10.0168|126G;29;PO.10.0168|126
omnichannel;25/09/2024 00:00;PO.10.0168|207;G;1;45560PO.10.0168|207G;4;PO.10.0168|207
omnichannel;25/09/2024 00:00;PO.10.0168|360;G;0;45560PO.10.0168|360G;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0246|616;G;1;45560PO.10.0246|616G;4;PO.10.0246|616
omnichannel;25/09/2024 00:00;PO.10.0280|606;G;1;45560PO.10.0280|606G;8;PO.10.0280|606
omnichannel;25/09/2024 00:00;PO.11.0012|010;G;0;45560PO.11.0012|010G;-;nao existe na base
omnichannel;25/09/2024 00:00;UW.01.0046|007;G;0;45560UW.01.0046|007G;-;nao existe na base
omnichannel;25/09/2024 00:00;CL.32.0043|129;GG;0;45560CL.32.0043|129GG;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.01.1023|007;GG;1;45560CS.01.1023|007GG;40;CS.01.1023|007
omnichannel;25/09/2024 00:00;CS.01.1023|061;GG;1;45560CS.01.1023|061GG;18;CS.01.1023|061
omnichannel;25/09/2024 00:00;CS.01.1023|097;GG;1;45560CS.01.1023|097GG;32;CS.01.1023|097
omnichannel;25/09/2024 00:00;CS.01.3663|047;GG;1;45560CS.01.3663|047GG;12;CS.01.3663|047
omnichannel;25/09/2024 00:00;CS.01.3663|207;GG;1;45560CS.01.3663|207GG;10;CS.01.3663|207
omnichannel;25/09/2024 00:00;CS.01.3684|126;GG;1;45560CS.01.3684|126GG;14;CS.01.3684|126
omnichannel;25/09/2024 00:00;CS.01.3686|061;GG;1;45560CS.01.3686|061GG;6;CS.01.3686|061
omnichannel;25/09/2024 00:00;CS.01.3687|007;GG;1;45560CS.01.3687|007GG;4;CS.01.3687|007
omnichannel;25/09/2024 00:00;CS.01.3687|046;GG;1;45560CS.01.3687|046GG;4;CS.01.3687|046
omnichannel;25/09/2024 00:00;CS.01.3687|061;GG;1;45560CS.01.3687|061GG;9;CS.01.3687|061
omnichannel;25/09/2024 00:00;CS.01.3691|061;GG;1;45560CS.01.3691|061GG;1;CS.01.3691|061
omnichannel;25/09/2024 00:00;CS.12.0227|042;GG;0;45560CS.12.0227|042GG;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.15.0053|010;GG;0;45560CS.15.0053|010GG;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.15.0061|477;GG;0;45560CS.15.0061|477GG;-;nao existe na base
omnichannel;25/09/2024 00:00;MC.05.0174|148;GG;1;45560MC.05.0174|148GG;11;MC.05.0174|148
omnichannel;25/09/2024 00:00;MC.05.0290|061;GG;1;45560MC.05.0290|061GG;5;MC.05.0290|061
omnichannel;25/09/2024 00:00;MC.05.0320|001;GG;1;45560MC.05.0320|001GG;4;MC.05.0320|001
omnichannel;25/09/2024 00:00;MC.06.0453|018;GG;1;45560MC.06.0453|018GG;1;MC.06.0453|018
omnichannel;25/09/2024 00:00;ML.02.0485|001/007;GG;1;45560ML.02.0485|001/007GG;7;ML.02.0485|001/007
omnichannel;25/09/2024 00:00;ML.02.0485|001/030;GG;1;45560ML.02.0485|001/030GG;5;ML.02.0485|001/030
omnichannel;25/09/2024 00:00;ML.02.0838|001;GG;1;45560ML.02.0838|001GG;2;ML.02.0838|001
omnichannel;25/09/2024 00:00;ML.02.0838|007;GG;1;45560ML.02.0838|007GG;7;ML.02.0838|007
omnichannel;25/09/2024 00:00;ML.05.0186|129;GG;0;45560ML.05.0186|129GG;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.05.0292|061;GG;1;45560ML.05.0292|061GG;4;ML.05.0292|061
omnichannel;25/09/2024 00:00;PO.01.1527|001;GG;1;45560PO.01.1527|001GG;5;PO.01.1527|001
omnichannel;25/09/2024 00:00;PO.01.2255|145;GG;0;45560PO.01.2255|145GG;0;PO.01.2255|145
omnichannel;25/09/2024 00:00;PO.10.0164|007;GG;1;45560PO.10.0164|007GG;34;PO.10.0164|007
omnichannel;25/09/2024 00:00;PO.10.0278|007;GG;1;45560PO.10.0278|007GG;8;PO.10.0278|007
omnichannel;25/09/2024 00:00;PO.10.0282|007;GG;1;45560PO.10.0282|007GG;6;PO.10.0282|007
omnichannel;25/09/2024 00:00;PO.11.0015|530;GG;1;45560PO.11.0015|530GG;3;PO.11.0015|530
omnichannel;25/09/2024 00:00;BE.13.0096|007;M;0;45560BE.13.0096|007M;-1;BE.13.0096|007
omnichannel;25/09/2024 00:00;BE.15.0030|007;M;0;45560BE.15.0030|007M;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.01.1023|001;M;1;45560CS.01.1023|001M;37;CS.01.1023|001
omnichannel;25/09/2024 00:00;CS.01.1023|007;M;1;45560CS.01.1023|007M;73;CS.01.1023|007
omnichannel;25/09/2024 00:00;CS.01.1023|061;M;1;45560CS.01.1023|061M;59;CS.01.1023|061
omnichannel;25/09/2024 00:00;CS.01.3663|004;M;1;45560CS.01.3663|004M;76;CS.01.3663|004
omnichannel;25/09/2024 00:00;CS.01.3678|001;M;1;45560CS.01.3678|001M;5;CS.01.3678|001
omnichannel;25/09/2024 00:00;CS.01.3686|061;M;1;45560CS.01.3686|061M;8;CS.01.3686|061
omnichannel;25/09/2024 00:00;CS.01.3687|001;M;1;45560CS.01.3687|001M;8;CS.01.3687|001
omnichannel;25/09/2024 00:00;CS.01.3693|001;M;1;45560CS.01.3693|001M;7;CS.01.3693|001
omnichannel;25/09/2024 00:00;CS.01.3693|061;M;1;45560CS.01.3693|061M;10;CS.01.3693|061
omnichannel;25/09/2024 00:00;CS.11.0072|129;M;0;45560CS.11.0072|129M;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.11.0092|007;M;1;45560CS.11.0092|007M;5;CS.11.0092|007
omnichannel;25/09/2024 00:00;CS.11.0093|007;M;1;45560CS.11.0093|007M;8;CS.11.0093|007
omnichannel;25/09/2024 00:00;CS.12.0089|007;M;1;45560CS.12.0089|007M;36;CS.12.0089|007
omnichannel;25/09/2024 00:00;CS.12.0198|542;M;0;45560CS.12.0198|542M;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.12.0227|001;M;1;45560CS.12.0227|001M;32;CS.12.0227|001
omnichannel;25/09/2024 00:00;CS.12.0227|007;M;1;45560CS.12.0227|007M;47;CS.12.0227|007
omnichannel;25/09/2024 00:00;CS.12.0227|010;M;0;45560CS.12.0227|010M;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.12.0376|536;M;1;45560CS.12.0376|536M;8;CS.12.0376|536
omnichannel;25/09/2024 00:00;CS.12.0386|010;M;0;45560CS.12.0386|010M;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.12.0488|596;M;1;45560CS.12.0488|596M;5;CS.12.0488|596
omnichannel;25/09/2024 00:00;CS.12.0539|007;M;1;45560CS.12.0539|007M;15;CS.12.0539|007
omnichannel;25/09/2024 00:00;CS.15.0078|007;M;1;45560CS.15.0078|007M;5;CS.15.0078|007
omnichannel;25/09/2024 00:00;MC.04.0005|001;M;0;45560MC.04.0005|001M;-1;MC.04.0005|001
omnichannel;25/09/2024 00:00;MC.05.0174|039;M;1;45560MC.05.0174|039M;19;MC.05.0174|039
omnichannel;25/09/2024 00:00;MC.05.0201|543;M;0;45560MC.05.0201|543M;-;nao existe na base
omnichannel;25/09/2024 00:00;MC.05.0320|021;M;1;45560MC.05.0320|021M;4;MC.05.0320|021
omnichannel;25/09/2024 00:00;MC.05.0320|148;M;1;45560MC.05.0320|148M;7;MC.05.0320|148
omnichannel;25/09/2024 00:00;MC.06.0163|010;M;1;45560MC.06.0163|010M;15;MC.06.0163|010
omnichannel;25/09/2024 00:00;MC.06.0207|001/010;M;0;45560MC.06.0207|001/010M;-;nao existe na base
omnichannel;25/09/2024 00:00;MC.06.0215|125;M;1;45560MC.06.0215|125M;5;MC.06.0215|125
omnichannel;25/09/2024 00:00;MC.06.0452|205;M;1;45560MC.06.0452|205M;15;MC.06.0452|205
omnichannel;25/09/2024 00:00;MC.06.0499|041;M;1;45560MC.06.0499|041M;3;MC.06.0499|041
omnichannel;25/09/2024 00:00;MC.06.0499|334;M;1;45560MC.06.0499|334M;4;MC.06.0499|334
omnichannel;25/09/2024 00:00;MC.06.0511|010;M;1;45560MC.06.0511|010M;6;MC.06.0511|010
omnichannel;25/09/2024 00:00;MC.06.0535|001/148;M;1;45560MC.06.0535|001/148M;10;MC.06.0535|001/148
omnichannel;25/09/2024 00:00;ML.01.0025|001;M;1;45560ML.01.0025|001M;10;ML.01.0025|001
omnichannel;25/09/2024 00:00;ML.02.0331|001;M;1;45560ML.02.0331|001M;33;ML.02.0331|001
omnichannel;25/09/2024 00:00;ML.02.0331|148;M;1;45560ML.02.0331|148M;38;ML.02.0331|148
omnichannel;25/09/2024 00:00;ML.02.0485|001/007;M;1;45560ML.02.0485|001/007M;6;ML.02.0485|001/007
omnichannel;25/09/2024 00:00;ML.02.0485|001/030;M;1;45560ML.02.0485|001/030M;17;ML.02.0485|001/030
omnichannel;25/09/2024 00:00;ML.02.0485|001/148;M;1;45560ML.02.0485|001/148M;12;ML.02.0485|001/148
omnichannel;25/09/2024 00:00;ML.02.0486|010;M;1;45560ML.02.0486|010M;16;ML.02.0486|010
omnichannel;25/09/2024 00:00;ML.02.0490|001;M;0;45560ML.02.0490|001M;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.02.0676|139;M;1;45560ML.02.0676|139M;3;ML.02.0676|139
omnichannel;25/09/2024 00:00;ML.02.0682|007/139;M;0;45560ML.02.0682|007/139M;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.02.0740|027;M;1;45560ML.02.0740|027M;5;ML.02.0740|027
omnichannel;25/09/2024 00:00;ML.02.0838|001;M;0;45560ML.02.0838|001M;-1;ML.02.0838|001
omnichannel;25/09/2024 00:00;ML.02.0838|007;M;1;45560ML.02.0838|007M;14;ML.02.0838|007
omnichannel;25/09/2024 00:00;ML.02.0838|010;M;1;45560ML.02.0838|010M;9;ML.02.0838|010
omnichannel;25/09/2024 00:00;ML.02.0839|025;M;1;45560ML.02.0839|025M;20;ML.02.0839|025
omnichannel;25/09/2024 00:00;ML.02.0847|001;M;1;45560ML.02.0847|001M;9;ML.02.0847|001
omnichannel;25/09/2024 00:00;ML.02.0938|001;M;1;45560ML.02.0938|001M;20;ML.02.0938|001
omnichannel;25/09/2024 00:00;ML.02.0938|006;M;1;45560ML.02.0938|006M;14;ML.02.0938|006
omnichannel;25/09/2024 00:00;ML.02.0938|007;M;1;45560ML.02.0938|007M;20;ML.02.0938|007
omnichannel;25/09/2024 00:00;ML.02.0938|010;M;1;45560ML.02.0938|010M;35;ML.02.0938|010
omnichannel;25/09/2024 00:00;ML.02.0938|148;M;1;45560ML.02.0938|148M;15;ML.02.0938|148
omnichannel;25/09/2024 00:00;ML.05.0177|548;M;1;45560ML.05.0177|548M;1;ML.05.0177|548
omnichannel;25/09/2024 00:00;ML.05.0179|552;M;0;45560ML.05.0179|552M;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.05.0186|129;M;0;45560ML.05.0186|129M;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.05.0205|001;M;0;45560ML.05.0205|001M;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.05.0257|010;M;1;45560ML.05.0257|010M;1;ML.05.0257|010
omnichannel;25/09/2024 00:00;ML.06.0041|005;M;1;45560ML.06.0041|005M;12;ML.06.0041|005
omnichannel;25/09/2024 00:00;MO.02.0034|043;M;1;45560MO.02.0034|043M;7;MO.02.0034|043
omnichannel;25/09/2024 00:00;PO.01.2255|007;M;1;45560PO.01.2255|007M;10;PO.01.2255|007
omnichannel;25/09/2024 00:00;PO.01.2255|010;M;0;45560PO.01.2255|010M;-3;PO.01.2255|010
omnichannel;25/09/2024 00:00;PO.01.2255|031;M;0;45560PO.01.2255|031M;-8;PO.01.2255|031
omnichannel;25/09/2024 00:00;PO.01.2255|129;M;0;45560PO.01.2255|129M;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.01.2255|145;M;0;45560PO.01.2255|145M;-3;PO.01.2255|145
omnichannel;25/09/2024 00:00;PO.01.2276|031;M;1;45560PO.01.2276|031M;1;PO.01.2276|031
omnichannel;25/09/2024 00:00;PO.01.2280|061;M;1;45560PO.01.2280|061M;5;PO.01.2280|061
omnichannel;25/09/2024 00:00;PO.01.2289|004;M;0;45560PO.01.2289|004M;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0030|001/561;M;0;45560PO.10.0030|001/561M;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0032|537/010;M;1;45560PO.10.0032|537/010M;2;PO.10.0032|537/010
omnichannel;25/09/2024 00:00;PO.10.0163|003;M;1;45560PO.10.0163|003M;19;PO.10.0163|003
omnichannel;25/09/2024 00:00;PO.10.0163|025;M;1;45560PO.10.0163|025M;6;PO.10.0163|025
omnichannel;25/09/2024 00:00;PO.10.0163|040;M;1;45560PO.10.0163|040M;8;PO.10.0163|040
omnichannel;25/09/2024 00:00;PO.10.0163|085;M;1;45560PO.10.0163|085M;26;PO.10.0163|085
omnichannel;25/09/2024 00:00;PO.10.0164|001;M;1;45560PO.10.0164|001M;28;PO.10.0164|001
omnichannel;25/09/2024 00:00;PO.10.0164|007;M;1;45560PO.10.0164|007M;39;PO.10.0164|007
omnichannel;25/09/2024 00:00;PO.10.0164|031;M;1;45560PO.10.0164|031M;29;PO.10.0164|031
omnichannel;25/09/2024 00:00;PO.10.0164|097;M;1;45560PO.10.0164|097M;30;PO.10.0164|097
omnichannel;25/09/2024 00:00;PO.10.0168|024;M;1;45560PO.10.0168|024M;8;PO.10.0168|024
omnichannel;25/09/2024 00:00;PO.10.0168|035;M;0;45560PO.10.0168|035M;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0168|109;M;1;45560PO.10.0168|109M;9;PO.10.0168|109
omnichannel;25/09/2024 00:00;PO.10.0168|126;M;1;45560PO.10.0168|126M;28;PO.10.0168|126
omnichannel;25/09/2024 00:00;PO.10.0168|207;M;1;45560PO.10.0168|207M;9;PO.10.0168|207
omnichannel;25/09/2024 00:00;PO.10.0168|342;M;0;45560PO.10.0168|342M;-1;PO.10.0168|342
omnichannel;25/09/2024 00:00;PO.10.0168|360;M;1;45560PO.10.0168|360M;5;PO.10.0168|360
omnichannel;25/09/2024 00:00;PO.10.0225|572;M;1;45560PO.10.0225|572M;11;PO.10.0225|572
omnichannel;25/09/2024 00:00;PO.10.0234|500;M;0;45560PO.10.0234|500M;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0282|001;M;1;45560PO.10.0282|001M;7;PO.10.0282|001
