dt_estoque,cd_prod_cor,sg_tamanho,Soma de qt_estoque
2024-09-25 00:00:00,BE.07.0981|139,40,9
2024-09-25 00:00:00,BE.07.0981|139,42,10
2024-09-25 00:00:00,BE.07.0981|139,44,10
2024-09-25 00:00:00,BE.07.0981|139,46,11
2024-09-25 00:00:00,BE.07.0981|139,48,8
2024-09-25 00:00:00,BE.07.3001|005,38,6
2024-09-25 00:00:00,BE.07.3001|005,40,12
2024-09-25 00:00:00,BE.07.3001|005,42,12
2024-09-25 00:00:00,BE.07.3001|005,44,15
2024-09-25 00:00:00,BE.07.3001|005,46,17
2024-09-25 00:00:00,BE.07.3001|005,48,6
2024-09-25 00:00:00,BE.07.3001|005,50,3
2024-09-25 00:00:00,BE.07.3001|007,38,8
2024-09-25 00:00:00,BE.07.3001|007,40,22
2024-09-25 00:00:00,BE.07.3001|007,42,20
2024-09-25 00:00:00,BE.07.3001|007,44,25
2024-09-25 00:00:00,BE.07.3001|007,46,19
2024-09-25 00:00:00,BE.07.3001|007,48,5
2024-09-25 00:00:00,BE.07.3001|007,50,4
2024-09-25 00:00:00,BE.07.3001|010,38,5
2024-09-25 00:00:00,BE.07.3001|010,40,10
2024-09-25 00:00:00,BE.07.3001|010,42,19
2024-09-25 00:00:00,BE.07.3001|010,44,16
2024-09-25 00:00:00,BE.07.3001|010,46,14
2024-09-25 00:00:00,BE.07.3001|010,48,2
2024-09-25 00:00:00,BE.07.3001|010,50,1
2024-09-25 00:00:00,BE.07.3001|035,38,7
2024-09-25 00:00:00,BE.07.3001|035,40,18
2024-09-25 00:00:00,BE.07.3001|035,42,19
2024-09-25 00:00:00,BE.07.3001|035,44,19
2024-09-25 00:00:00,BE.07.3001|035,46,22
2024-09-25 00:00:00,BE.07.3001|035,48,7
2024-09-25 00:00:00,BE.07.3001|035,50,5
2024-09-25 00:00:00,BE.07.3002|021,G,11
2024-09-25 00:00:00,BE.07.3002|021,GG,5
2024-09-25 00:00:00,BE.07.3002|021,M,10
2024-09-25 00:00:00,BE.07.3002|021,P,7
2024-09-25 00:00:00,BE.07.3002|061,G,11
2024-09-25 00:00:00,BE.07.3002|061,GG,5
2024-09-25 00:00:00,BE.07.3002|061,M,10
2024-09-25 00:00:00,BE.07.3002|061,P,7
2024-09-25 00:00:00,BE.07.3003|021,38,5
2024-09-25 00:00:00,BE.07.3003|021,40,8
2024-09-25 00:00:00,BE.07.3003|021,42,10
2024-09-25 00:00:00,BE.07.3003|021,44,12
2024-09-25 00:00:00,BE.07.3003|021,46,9
2024-09-25 00:00:00,BE.07.3003|021,48,3
2024-09-25 00:00:00,BE.07.3003|061,38,5
2024-09-25 00:00:00,BE.07.3003|061,40,8
2024-09-25 00:00:00,BE.07.3003|061,42,9
2024-09-25 00:00:00,BE.07.3003|061,44,12
2024-09-25 00:00:00,BE.07.3003|061,46,9
2024-09-25 00:00:00,BE.07.3003|061,48,3
2024-09-25 00:00:00,BE.07.3003|061,50,2
2024-09-25 00:00:00,BE.07.3004|007,38,6
2024-09-25 00:00:00,BE.07.3004|007,40,6
2024-09-25 00:00:00,BE.07.3004|007,44,12
2024-09-25 00:00:00,BE.07.3004|007,46,1
2024-09-25 00:00:00,BE.07.3004|007,48,3
2024-09-25 00:00:00,BE.07.3004|007,50,3
2024-09-25 00:00:00,BE.07.3004|010,40,7
2024-09-25 00:00:00,BE.07.3004|010,44,1
2024-09-25 00:00:00,BE.07.3004|010,46,6
2024-09-25 00:00:00,BE.07.3004|010,48,2
2024-09-25 00:00:00,BE.07.3004|010,50,3
2024-09-25 00:00:00,BE.07.3004|021,38,4
2024-09-25 00:00:00,BE.07.3004|021,40,4
2024-09-25 00:00:00,BE.07.3004|021,44,8
2024-09-25 00:00:00,BE.07.3004|021,46,6
2024-09-25 00:00:00,BE.07.3004|021,48,2
2024-09-25 00:00:00,BE.07.3004|021,50,3
2024-09-25 00:00:00,BE.07.3004|061,38,4
2024-09-25 00:00:00,BE.07.3004|061,40,3
2024-09-25 00:00:00,BE.07.3004|061,44,8
2024-09-25 00:00:00,BE.07.3004|061,46,6
2024-09-25 00:00:00,BE.07.3004|061,48,3
2024-09-25 00:00:00,BE.07.3004|061,50,3
2024-09-25 00:00:00,BE.07.3006|007,38,3
2024-09-25 00:00:00,BE.07.3006|007,40,8
